group.uid___A001_X133d_X131f.lp_ldecin.description.pdf                                 520.05 KB
group.uid___A001_X133d_X131f.lp_ldecin.README.txt                                      4.75
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_combined_cont_mfs.fin.fits               18.23 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_combined_cont_mfs.fin.mask.fits.gz       17.13 KB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_combined_cont.ms.tgz                     31.65 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_combined_cube00.fits                     18.23 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_combined_cube00.pbcor.fits               18.23 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_combined_cube01.fits                     18.23 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_combined_cube01.pbcor.fits               18.23 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_combined_cube02.fits                     18.23 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_combined_cube02.pbcor.fits               18.23 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_combined_cube03.fits                     18.23 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_combined_cube03.pbcor.fits               18.23 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_combined_cube04.fits                     18.23 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_combined_cube04.pbcor.fits               18.23 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_combined_cube05.fits                     18.23 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_combined_cube05.pbcor.fits               18.23 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_combined_cube06.fits                     18.23 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_combined_cube06.pbcor.fits               18.23 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_combined_cube07.fits                     9.08 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_combined_cube07.pbcor.fits               9.08 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_combined_cube08.fits                     9.08 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_combined_cube08.pbcor.fits               9.08 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_combined_cube09.fits                     18.23 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_combined_cube09.pbcor.fits               18.23 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_combined_cube10.fits                     18.23 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_combined_cube10.pbcor.fits               18.23 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_combined_cube11.fits                     18.23 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_combined_cube11.pbcor.fits               18.23 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_combined_cube12.fits                     18.23 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_combined_cube12.pbcor.fits               18.23 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_combined_cube13.fits                     9.08 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_combined_cube13.pbcor.fits               9.08 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_combined_cube14.fits                     18.23 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_combined_cube14.pbcor.fits               18.23 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_combined_cube15.fits                     18.23 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_combined_cube15.pbcor.fits               18.23 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_combined_line.ms.contsub.tgz             492.11 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_extended_cont_mfs.fin.fits               165.94 KB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_extended_cont_mfs.fin.mask.fits.gz       1.23 MB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_extended_cont.ms.flagversions.tgz        2.80 MB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_extended_cont.ms.tgz                     64.53 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_extended_cube00.fits                     1.14 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_extended_cube00.mask.fits.gz             1.33 MB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_extended_cube00.pbcor.fits               1.14 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_extended_cube01.fits                     1.14 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_extended_cube01.mask.fits.gz             1.25 MB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_extended_cube01.pbcor.fits               1.14 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_extended_cube02.fits                     1.14 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_extended_cube02.mask.fits.gz             1.22 MB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_extended_cube02.pbcor.fits               1.14 GB
group.uid___A001_X133d_X131f.lp_ldecin.AH_Sco_extended_cube03.fits                     1.14 GB
